BIOS Version,Test Case Number,Test Case Name,Result,Comment
BIOS030202 2024 BIOS PreRelease Test v1.01,B.3.1.3,"Verify BIOS can boot to UEFI Shell, when Secure Boot = Disabled",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.3.1.4,"Verify BIOS can boot to Windows 10 or later OS, when Secure Boot = Disabled",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.4.1.4,"Verify BIOS can boot to Windows 10 or later OS, when Secure Boot = Enabled",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.5.1.3,Verify system can cold boot and warm boot into Windows 10 or later OS with no bangs in Device Manager,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.5.1.4,"Verify BIOS support for S3 sleep state and resume, in Windows 10 or later OS",Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.5.1.5,Verify Windows 10 or later OS supports S4 sleep state and resume,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.5.1.7,Perform Quick Stress Test for Windows 10 or later OS Standby/Hibernate/Reboot 5 times,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.6.1.4,Verify PS/2 keyboard and mouse can wake Windows 10 from S3 sleep state(Desktop only),NA,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.6.1.5,Verify USB keyboard and mouse can wake Windows 10 from S3 sleep state,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,B.6.1.6,Verify power button can wake Windows 10 from S3 sleep state,Pass,
BIOS030202 2024 BIOS PreRelease Test v1.01,D.34,Action Key (Hotkey) and Brightness / Volume Checking,NA,
BIOS030202 2024 BIOS PreRelease Test v1.01,C.12.1,"AC2 Verify Netclone Pre-Production BIOS Versions (V00.Xx) Support For ""Netclone Option Roms"" BIOS Setting",NA,
BIOS030202 2024 BIOS PreRelease Test v1.01,R.Pre.7,SPI Lock Protection Test Official Signed Bios,Pass,
